time,width,height,weight,hp,strength,powers,protection
00:00,69,229,3289,224,2412,1003.5811253946822,709.0949860555738
00:01,21,192,2128,887,9609,9095.26840801613,4040.1846300821567
00:02,58,207,1659,704,7819,2529.8858895329745,1641.8518899372423
00:03,24,134,1453,348,4397,1296.8967403171314,1099.3884783055244
00:04,82,152,4598,576,6521,7411.770237538545,2403.3264250769803
00:05,45,234,2431,488,5398,1524.3826810998753,208.26728657490207
00:06,60,244,9186,665,6886,9962.650522488666,2495.9009991773946
00:07,43,227,7390,350,4396,3888.2368760533736,1706.0239627899232
00:08,31,89,453,336,4089,3924.855265846509,3290.0351255406204
00:09,56,157,6306,301,3160,5443.378947007461,1427.9834322082982
00:10,89,83,5841,662,7050,6845.087160003226,2542.1215586898957
00:11,21,181,281,493,5404,3703.0327802809716,2182.161905379024
00:12,77,114,3068,846,8510,8997.222360135938,4397.613541216706
00:13,43,165,6710,317,3277,7482.9666774492935,3910.490941953278
00:14,86,158,4415,703,7700,7546.533805397521,5578.3313463422755
00:15,39,167,868,196,2504,3102.881809489634,720.4718220763675
00:16,99,114,4295,103,1345,4096.259578035928,1890.8909754669085
00:17,44,134,3262,640,6978,9727.586710421541,8393.318130363705
00:18,42,123,1718,751,8355,7328.931846863552,1746.4713708917766
00:19,62,147,4095,300,3969,2663.808163065551,781.8854060117437
00:20,48,173,7044,234,3155,4134.911340842524,1836.9670553973494
00:21,77,171,7599,483,5408,5467.075506215057,4257.041616864259
00:22,89,97,6076,201,2943,1791.544587708593,1483.9197158610484
00:23,47,212,4400,626,6906,8637.531043750187,1415.8272978651228
00:24,94,116,6453,626,6277,6412.0331050595,3114.0058529142075
00:25,82,115,8999,747,7706,2312.608883044487,1448.2014196000748
00:26,42,249,10192,785,8084,10075.784992603807,2565.278149477518
00:27,80,177,9417,64,1120,5318.9285422670855,1302.1736585480205
00:28,41,217,313,970,9988,8073.850818399836,1971.1947916029908
00:29,77,240,10631,590,6097,13498.49375070626,1722.4601574279732
00:30,40,167,5580,286,3293,3788.2815119693764,1123.756056932724
00:31,45,202,3978,224,3124,3188.3721617577667,2535.4022188138265
00:32,34,150,1098,739,7401,1109.5562990956498,1014.3065087603294
00:33,43,185,4595,938,9677,5788.512805736883,2502.5729036592916
00:34,58,117,5096,332,4061,8813.751657936002,5403.585109334555
00:35,83,109,726,98,1614,1630.963183375315,162.20684972878738
00:36,66,233,10207,445,4852,6484.136013548947,5309.887340331962
00:37,21,116,204,591,6716,5132.964161561398,160.88153008793222
00:38,52,98,1637,611,6404,5664.356084528343,685.5726330479755
00:39,65,211,5649,773,7990,7145.631177765814,6989.253997188747
00:40,91,140,2387,887,9018,7142.014319729396,3042.356509537326
00:41,71,92,2682,909,9498,7147.148025045411,7095.325523986716
00:42,100,163,2832,787,8520,1541.8650589744998,259.19264019767604
00:43,91,220,19584,237,3061,19119.62401243558,8440.697019213952
00:44,50,203,5066,695,7548,4926.718041007823,3285.9834080343167
00:45,61,115,1221,194,2871,1295.042376840832,1224.8054153415908
00:46,52,161,879,840,8535,7330.033031642233,2303.483188051732
00:47,37,222,7579,147,2247,4152.40677234116,664.4255427350971
00:48,96,86,2312,283,3758,2501.6126297617247,504.15827539409287
00:49,82,235,3087,919,9838,11695.188005670643,7350.910418056902
00:50,74,150,6253,728,7406,6530.882676814437,4363.747168603025
00:51,34,175,2367,34,677,2604.743487802624,1033.456438665931
00:52,32,153,269,25,970,1271.5180017951634,831.2473453141356
00:53,31,139,1294,27,438,1304.5926365785867,484.72162563321274
00:54,95,88,1742,157,1686,1608.9288634346974,506.3332309688537
00:55,66,108,3205,162,2482,2258.52741488221,748.7451475839295
00:56,61,217,2675,94,1890,2875.4536051144196,2236.3378375473694
00:57,26,179,2134,411,4693,3507.075215255505,1398.9623330841157
00:58,64,146,7851,813,9111,7107.621821406114,3589.84950468048
00:59,99,155,5631,69,1662,2341.8539792093934,272.50620577837583
01:00,100,230,12930,93,1599,11259.879174932534,4093.008273993333
01:01,73,159,9221,299,3906,9288.603381045901,1552.7602870521919
01:02,98,188,13751,41,1155,5426.657388657493,1110.7391748942064
01:03,25,145,596,662,7405,2003.8173141673958,1920.2814650241476
01:04,63,81,1539,521,5475,3599.078805528731,3348.7088590721464
01:05,54,101,5420,874,9221,10565.163954428164,2661.707443526238
01:06,32,191,1808,712,7489,1350.852269611753,528.9659128272434
01:07,53,139,2151,153,2417,4153.399607498278,704.6355834841197
01:08,36,181,3631,358,4196,5202.552948928709,2332.257616304599
01:09,30,237,2815,65,1549,2465.487605900549,1584.6359545000767
01:10,56,209,9827,729,8168,12925.99182228756,1640.3353843364828
01:11,38,189,5378,42,469,5497.104739283699,5155.942581494998
01:12,70,230,755,50,949,1088.3289536955876,94.9926848516598
01:13,26,109,1617,419,4974,4644.194800975465,3263.5754286407227
01:14,34,107,2982,754,8047,9525.4388011625,9508.180170695128
01:15,57,127,352,325,3690,2601.7648713065046,383.67895366027204
01:16,94,197,10355,972,10333,9635.542186530969,2841.885557540871
01:17,52,234,7556,292,3012,4125.669114946816,1719.1399198776699
01:18,72,110,4183,203,2567,4818.447845794914,2365.877825045159
